,price,Year,Hand,Kilometer,Area,Gearbox,Engine capcity,Color,manufacturer,type
172,24500.0,2017.0,3.0,119000.0, זכרון - בנימינה,ידנית,998.0,             אפור מטאלי,יונדאי, i10
173,90000.0,2016.0,2.0,160000.0, באר שבע והסביבה,אוטומטית,1580.0,             שחור מטאלי,יונדאי, איוניק
174,45500.0,2015.0,2.0,110000.0, נס ציונה - רחובות,אוטומטית,1368.0,             כסוף,יונדאי, i20
176,5000.0,2006.0,3.0,300000.0, יישובי השומרון,אוטומטית,1599.0,             לבן,יונדאי, אקסנט
178,120000.0,2020.0,1.0,20000.0, נתניה והסביבה,אוטומטית,1580.0,             לבן,יונדאי, איוניק
197,45000.0,2016.0,1.0,99500.0, נס ציונה - רחובות,אוטומטית,1248.0,             לבן,יונדאי, i10
201,76000.0,2021.0,1.0,11800.0, פתח תקוה והסביבה,אוטומטית,1197.0,             כסוף מטאלי,יונדאי, i10
204,30000.0,2015.0,3.0,140000.0, חדרה וישובי עמק חפר,אוטומטית,998.0,             כחול,יונדאי, i10
205,18700.0,2013.0,3.0,85000.0, חולון - בת ים,ידנית,1086.0,             אפור עכבר,יונדאי, i10
206,29000.0,2017.0,4.0,118900.0, חדרה וישובי עמק חפר,ידנית,998.0,             כסף מטלי,יונדאי, i10
207,18000.0,2011.0,3.0,160500.0, עכו - נהריה,אוטומטית,1086.0,             כחול מטאלי,יונדאי, i10
209,16500.0,2009.0,4.0,148000.0, רעננה - כפר סבא,אוטומטית,1248.0,             אפור,יונדאי, i10
210,60000.0,2018.0,1.0,50000.0, פתח תקוה והסביבה,אוטומטית,1248.0,             אדום מטאלי,יונדאי, i10
211,49000.0,2016.0,2.0,117732.0, מושבים בצפון,אוטומטית,1248.0,             שחור,יונדאי, i10
212,33000.0,2014.0,2.0,74000.0, רעננה - כפר סבא,אוטומטית,998.0,             תכלת מטאלי,יונדאי, i10
213,18000.0,2011.0,3.0,187000.0, חדרה וישובי עמק חפר,אוטומטית,1086.0,             כחול מטאלי,יונדאי, i10
214,7500.0,2011.0,3.0,214000.0, מושבים בצפון,ידנית,1086.0,             בורדו,יונדאי, i10
215,17500.0,2011.0,4.0,155000.0, חולון - בת ים,אוטומטית,1086.0,             קרם,יונדאי, i10
216,39000.0,2015.0,2.0,92624.0, באר שבע והסביבה,אוטומטית,998.0,             לבן שנהב,יונדאי, i10
217,16000.0,2012.0,3.0,200000.0, חיפה וחוף הכרמל,אוטומטית,1086.0,             אפור מטאלי,יונדאי, i10
218,14000.0,2011.0,4.0,127550.0, מושבים בצפון,ידנית,1086.0,             ברונזה מטאלי,יונדאי, i10
219,17500.0,2011.0,4.0,116000.0, באר שבע והסביבה,ידנית,1086.0,             שחור,יונדאי, i10
220,12000.0,2013.0,3.0,188852.0," ראשל""צ והסביבה",ידנית,1086.0,             אפור מטאלי,יונדאי, i10
222,20299.0,2014.0,4.0,118000.0, ירושלים והסביבה,ידנית,998.0,             לבן,יונדאי, i10
223,35900.0,2015.0,2.0,115000.0, תל אביב,אוטומטית,998.0,             לבן,יונדאי, i10
224,26000.0,2011.0,2.0,98000.0," ראשל""צ והסביבה",אוטומטית,1086.0,             בז’ מטאלי,יונדאי, i10
225,55000.0,2017.0,1.0,110000.0, נתניה והסביבה,אוטומטית,1248.0,             אפור מטאלי,יונדאי, i10
226,25500.0,2014.0,1.0,105000.0," ראשל""צ והסביבה",ידנית,998.0,             שחור,יונדאי, i10
227,17000.0,2011.0,2.0,161000.0, מושבים בצפון,ידנית,1086.0,             שחור,יונדאי, i10
228,15000.0,2013.0,4.0,80000.0, ירושלים והסביבה,ידנית,1086.0,             שחור,יונדאי, i10
229,30000.0,2015.0,2.0,160000.0, נתניה והסביבה,אוטומטית,998.0,             לבן,יונדאי, i10
230,42000.0,2016.0,2.0,71000.0, ירושלים והסביבה,אוטומטית,998.0,             כחול מטאלי,יונדאי, i10
231,23000.0,2014.0,1.0,116000.0, ירושלים והסביבה,ידנית,998.0,             לבן,יונדאי, i10
232,35000.0,2016.0,2.0,118000.0, רעננה - כפר סבא,אוטומטית,998.0,             אפור מטאלי,יונדאי, i10
233,49000.0,2017.0,1.0,98000.0, ירושלים והסביבה,אוטומטית,1248.0,             אפור מטאלי,יונדאי, i10
234,47000.0,2015.0,2.0,50000.0, גליל ועמקים,אוטומטית,1248.0,             לבן,יונדאי, i10
236,38000.0,2015.0,1.0,80000.0, מושבים בצפון,אוטומטית,1248.0,             לבן,יונדאי, i10
237,40000.0,2017.0,2.0,53000.0, יישובי השומרון,אוטומטית,998.0,             לבן,יונדאי, i10
238,22500.0,2011.0,2.0,104000.0, ירושלים והסביבה,ידנית,1086.0,             שחור,יונדאי, i10
239,19000.0,2011.0,2.0,126000.0, פתח תקוה והסביבה,אוטומטית,1086.0,             כחול כהה מטאלי,יונדאי, i10
245,25000.0,2015.0,1.0,160000.0, רמלה - לוד,ידנית,998.0,             לבן,יונדאי, i10
